0,1.24879
0.031062,1.74314
0.0468127,2.22466
0.0625576,2.58419
0.0697274,3.02078
0.0854668,3.26474
0.101689,3.63069
0.118862,3.96453
0.136035,4.29196
0.157017,4.52307
0.184195,4.78628
0.219949,4.97885
0.24902,4.94029
0.2838,4.69626
0.311424,4.29173
0.335702,3.70743
0.361402,2.94336
0.378528,2.26918
0.393758,1.83898
0.405653,1.40237
0.424216,0.895121
0.433249,0.439251
0.450853,-0.202826
0.464653,-0.652282
0.485123,-1.14027
0.501309,-1.54478
0.518449,-1.90436
0.527969,-2.14835
0.550829,-2.51435
0.573692,-2.79046
0.599893,-3.04732
0.621342,-3.0024
0.645178,-2.8676
0.669496,-2.64291
0.689049,-2.3797
0.705748,-2.00091
0.722923,-1.62212
0.737237,-1.30111
0.74774,-0.928729
0.761578,-0.562776
0.773035,-0.183978
0.790223,0.451634
0.808358,0.958834
0.82554,1.47246
0.836523,1.93472
0.843696,2.43551
0.858013,2.83357
0.875189,3.21236
0.88808,3.7003
0.9105,4.10477
0.92767,4.36157
0.945318,4.66331
0.977736,4.85589
1.00396,5.05489
1.03399,5.07411
1.06306,5.02271
1.08401,4.7145
1.11068,4.29713
1.12591,3.87335
1.14114,3.39179
1.15923,2.97443
1.17017,2.5314
1.18397,2.06269
1.19634,1.54261
1.21157,1.09315
1.2344,0.1814
1.25248,-0.434995
1.27486,-0.935826
1.29819,-1.4495
1.31961,-1.95675
1.34342,-2.29065
1.3639,-2.57318
1.38296,-2.73372
1.40774,-2.83006
1.43443,-2.75305
1.46066,-2.48342
1.48927,-2.17527
1.51455,-1.70018
1.53077,-1.31497
1.55797,-0.724312
1.56561,-0.422556
1.58469,0.0589603
1.59663,0.450598
1.61667,1.04126
1.62623,1.49069
1.64246,2.02357
1.65487,2.52436
1.67492,3.11502
1.69114,3.60296
1.70975,3.94323
1.72549,4.25782
1.74027,4.43115
1.76554,4.61732
1.79367,4.77137
1.81989,4.90617
1.83895,4.89973
1.8704,4.73275
1.89755,4.40527
1.9185,3.99433
1.93707,3.55128
1.94896,3.09541
1.96657,2.62669
1.97704,2.17724
1.99655,1.71493
2.00797,1.22696
2.02653,0.668345
2.04603,-0.14709
2.06459,-0.744224
2.08507,-1.14232
2.10411,-1.63673
2.12505,-2.1183
2.14648,-2.47146
2.17173,-2.77325
2.19126,-2.998
2.20984,-3.04939
2.23368,-2.93385
2.26133,-2.70274
2.28327,-2.38816
2.30522,-1.82961
2.33479,-1.37378
2.34864,-0.892261
2.36772,-0.397904
2.38204,0.0515158
2.40638,0.655016
2.41784,1.07234
2.43121,1.73364
2.44935,2.17021
2.46462,2.7031
2.47608,3.09473
2.49183,3.52489
2.51043,3.89726
2.53762,4.24393
2.56146,4.56493
2.59245,4.70614
2.6301,4.80882
2.66298,4.73815
2.69252,4.44277
2.71824,4.05108
2.75346,3.18427
2.77583,2.40735
2.79295,1.65612
2.81056,1.14246
2.82626,0.596692
2.84435,0.095866
2.85863,-0.276544
2.86719,-0.655367
2.89195,-1.11126
2.911,-1.49009
2.93243,-1.84325
2.961,-2.2542
2.98911,-2.44044
3.00531,-2.53676
3.03248,-2.47259
3.06204,-2.17729
3.08732,-1.82419
3.1064,-1.4454
3.12358,-1.13082
3.13503,-0.796963
3.15173,-0.469537
3.16795,-8.58E-04
3.17941,0.442145
3.19326,0.904407
3.20519,1.37951
3.21713,1.75831
3.23192,2.1692
3.24148,2.63147
3.2725,3.54957
3.29301,3.99256
3.31877,4.38418
3.35358,4.71801
3.38027,4.7886
3.41268,4.8014
3.45365,4.58305
3.48319,4.27482
3.50128,3.92167
3.51557,3.58778
3.52937,3.20253
3.53554,2.76593
3.55506,2.36783
3.56886,1.8349
3.58123,1.38545
3.59217,1.0002
3.60645,0.557167
3.62597,0.0756007
3.64595,-0.579321
3.65261,-0.932459
3.67833,-1.33699
3.69737,-1.69656
3.72214,-2.08825
3.74452,-2.38362
3.77025,-2.62121
3.79694,-2.58915
3.8284,-2.46077
3.85463,-2.23609
3.88133,-1.85731
3.909,-1.36939
3.92856,-0.945655
3.94479,-0.489817
3.95815,-0.143124
3.97199,0.325558
3.98488,0.704353
3.99777,1.15377
4.01161,1.68666
4.02737,2.29017
4.04074,2.72033
4.05744,3.12481
4.0708,3.46508
4.08941,3.97228
4.11802,4.34463
4.13948,4.5629
4.16617,4.65918
4.19763,4.63987
4.22622,4.58847
4.25099,4.3573
4.281,3.97845
4.29909,3.58677
4.31718,3.08595
4.33432,2.63007
4.34716,2.21272
4.36286,1.61559
4.37523,1.14045
4.39141,0.524056
4.40426,0.100283
4.42139,-0.400541
4.43709,-0.901364
4.45518,-1.40861
4.47279,-1.89659
4.49469,-2.33322
4.5147,-2.64143
4.53994,-2.95607
4.56567,-3.16156
4.58473,-3.18727
4.60475,-3.11667
4.62907,-2.84062
4.65291,-2.61593
4.67342,-2.21788
4.69632,-1.81983
4.70396,-1.45387
4.72924,-1.00447
4.74929,-0.368859
4.77076,0.18328
4.78365,0.645543
4.79464,1.13349
4.80037,1.45451
4.81327,1.94245
4.82949,2.2763
4.84238,2.7193
4.85002,3.09169
4.86576,3.43195
4.88056,3.83001
4.89677,4.01618
4.91727,4.15741
4.93633,4.05466
4.95348,3.82992
4.96728,3.45109
5,3.07867
